Name of the Instrument,ISIN,Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Industry / Rating
7.67% LIC Housing Finance Limited (15/04/2033) ,INE115A07QK0,CRISIL AAA,250.0,2526.4275,0.0019,Axis Mutual Fund,AXISBDF,
6.97% Karnataka State Development Loans (26/02/2030),IN1920190197,Sovereign,2500000.0,2523.9425,0.0019,Axis Mutual Fund,AXISBDF,
7.43% National Bank For Financing Infrastructure And Development (16/06/2033) ,INE0KUG08019,CRISIL AAA,2500.0,2522.985,0.0019,Axis Mutual Fund,AXISBDF,
7.70% Power Finance Corporation Limited (15/09/2026) ,INE134E08MK0,CRISIL AAA,2500.0,2516.8475,0.0018,Axis Mutual Fund,AXISBDF,
7.64% REC Limited (30/06/2026),INE020B08EM0,CRISIL AAA,2500.0,2509.9825,0.0018,Axis Mutual Fund,AXISBDF,
7.56% Bajaj Housing Finance Limited (04/10/2034) ,INE377Y07516,CRISIL AAA,2500.0,2506.705,0.0018,Axis Mutual Fund,AXISBDF,
7.55% Bajaj Finance Limited (03/04/2035) ,INE296A07TH8,CRISIL AAA,2500.0,2503.485,0.0018,Axis Mutual Fund,AXISBDF,
7.299% Kotak Mahindra Prime Limited (22/09/2028),INE916DA7TD8,CRISIL AAA,2500.0,2500.4,0.0018,Axis Mutual Fund,AXISBDF,
7.50% Bajaj Housing Finance Limited (09/04/2035) ,INE377Y07540,CRISIL AAA,2500.0,2494.895,0.0018,Axis Mutual Fund,AXISBDF,
6.95% Bajaj Housing Finance Limited (28/01/2028) ,INE377Y07615,CRISIL AAA,2500.0,2493.7475,0.0018,Axis Mutual Fund,AXISBDF,
6.99% Sundaram Finance Limited (28/05/2027) ,INE660A07RY4,CRISIL AAA,2500.0,2493.5775,0.0018,Axis Mutual Fund,AXISBDF,
6.98% Power Grid Corporation of India Limited (12/08/2035) ,INE752E08791,CRISIL AAA,2500.0,2470.9475,0.0018,Axis Mutual Fund,AXISBDF,
7.06% REC Limited (30/06/2035) ,INE020B08GA0,ICRA AAA,2500.0,2462.3325,0.0018,Axis Mutual Fund,AXISBDF,
6.58% Indian Railway Finance Corporation Limited (30/05/2030) ,INE053F08528,CRISIL AAA,2500.0,2461.19,0.0018,Axis Mutual Fund,AXISBDF,
6.68% Government of India (07/07/2040),IN0020250042,Sovereign,2500000.0,2425.9175,0.0018,Axis Mutual Fund,AXISBDF,
6.73% Indian Railway Finance Corporation Limited (06/07/2035) ,INE053F07CQ9,CRISIL AAA,250.0,2414.345,0.0018,Axis Mutual Fund,AXISBDF,
7.47% Small Industries Dev Bank of India (05/09/2029) ,INE556F08KR0,CRISIL AAA,2285.0,2320.4404,0.0017,Axis Mutual Fund,AXISBDF,
8.1% Bajaj Housing Finance Limited (08/07/2027),INE377Y07482,CRISIL AAA,1800.0,1825.1082,0.0013,Axis Mutual Fund,AXISBDF,
8.05% NTPC Limited (05/05/2026) ,INE733E07KA6,CRISIL AAA,175.0,1757.5513,0.0013,Axis Mutual Fund,AXISBDF,
7.9% Sundaram Home Finance Limited (24/09/2027) ,INE667F07IV3,ICRA AAA,1500.0,1517.046,0.0011,Axis Mutual Fund,AXISBDF,
7.39% Maharashtra State Development Loans (03/07/2030),IN2220190036,Sovereign,1000000.0,1025.494,0.0008,Axis Mutual Fund,AXISBDF,
7.86% Tata Capital Housing Finance Limited (21/09/2029) ,INE033L07IJ1,CRISIL AAA,1000.0,1021.381,0.0007,Axis Mutual Fund,AXISBDF,
8.24% L&T Finance Limited (16/06/2027) ,INE498L07038,ICRA AAA,1000.0,1013.174,0.0007,Axis Mutual Fund,AXISBDF,
7.9265% LIC Housing Finance Limited (14/07/2027) ,INE115A07QS3,CRISIL AAA,1000.0,1011.687,0.0007,Axis Mutual Fund,AXISBDF,
7.44% Power Finance Corporation Limited (11/06/2027) ,INE134E08JC3,CRISIL AAA,100.0,1009.228,0.0007,Axis Mutual Fund,AXISBDF,
7.10% Power Finance Corporation Limited (11/01/2027) ,INE134E08IP7,CRISIL AAA,100.0,1004.918,0.0007,Axis Mutual Fund,AXISBDF,
8.32% HDFC Bank Limited (04/05/2026) ,INE040A08468,CRISIL AAA,10.0,1004.175,0.0007,Axis Mutual Fund,AXISBDF,
7.9% Kotak Mahindra Prime Limited (13/01/2026) ,INE916DA7SB4,CRISIL AAA,1000.0,1000.575,0.0007,Axis Mutual Fund,AXISBDF,
6.95% Rajasthan State Development Loans (10/02/2031),IN2920200655,Sovereign,1000000.0,993.386,0.0007,Axis Mutual Fund,AXISBDF,
5.74% Government of India (15/11/2026),IN0020210186,Sovereign,550000.0,551.3266,0.0004,Axis Mutual Fund,AXISBDF,
7.40 % National Bank For Agriculture and Rural Development (29/04/2030) ,INE261F08EL3,CRISIL AAA,500.0,505.992,0.0004,Axis Mutual Fund,AXISBDF,
8.53% Tamil Nadu State Development Loans (09/03/2026),IN3120150211,Sovereign,500000.0,503.1935,0.0004,Axis Mutual Fund,AXISBDF,
8.04% Chattisgarh State Development Loans (20/03/2026),IN3520180131,Sovereign,500000.0,502.995,0.0004,Axis Mutual Fund,AXISBDF,
8.255% Kotak Mahindra Prime Limited (22/06/2026) ,INE916DA7SF5,CRISIL AAA,500.0,502.5235,0.0004,Axis Mutual Fund,AXISBDF,
8.30% Axis Finance Limited (26/12/2025) ,INE891K07911,CRISIL AAA,500.0,500.125,0.0004,Axis Mutual Fund,AXISBDF,
6.28% Government of India (14/07/2032),IN0020250059,Sovereign,500000.0,492.777,0.0004,Axis Mutual Fund,AXISBDF,
5.79% Government of India (11/05/2030),IN0020200070,Sovereign,500000.0,489.429,0.0004,Axis Mutual Fund,AXISBDF,
7.37% Power Finance Corporation Limited (22/05/2026) ,INE134E08MO2,CRISIL AAA,450.0,450.9716,0.0003,Axis Mutual Fund,AXISBDF,
5.63% Government of India (12/04/2026),IN0020210012,Sovereign,350000.0,350.1799,0.0003,Axis Mutual Fund,AXISBDF,
6.92% Government of India (18/11/2039),IN0020240134,Sovereign,345400.0,343.9155,0.0003,Axis Mutual Fund,AXISBDF,
8.285% Tata Capital Limited (10/05/2027),INE976I07CT9,CRISIL AAA,250.0,253.1793,0.0002,Axis Mutual Fund,AXISBDF,
8.1432% LIC Housing Finance Limited (25/03/2026) ,INE115A07QG8,CRISIL AAA,25.0,250.8315,0.0002,Axis Mutual Fund,AXISBDF,
6.79% Government of India (30/12/2031),IN0020240191,Sovereign,175100.0,177.2366,0.0001,Axis Mutual Fund,AXISBDF,
7.54% Bihar State Development Loans (03/09/2033),IN1320250088,Sovereign,165700.0,167.5906,0.0001,Axis Mutual Fund,AXISBDF,
8.72% Tamilnadu State Development Loans (19/09/2026),IN3120180127,Sovereign,150000.0,153.2229,0.0001,Axis Mutual Fund,AXISBDF,
7.08% Andhra Pradesh State Development Loans (26/03/2037),IN1020240801,Sovereign,140900.0,137.3612,0.0001,Axis Mutual Fund,AXISBDF,
7.13% Power Finance Corporation Limited (15/07/2026) ,INE134E08LP1,CRISIL AAA,11.0,110.1379,0.0001,Axis Mutual Fund,AXISBDF,
8.25% Mahindra & Mahindra Financial Services Limited (25/03/2027) ,INE774D07VE1,CRISIL AAA,100.0,101.2168,0.0001,Axis Mutual Fund,AXISBDF,
7.22% National Housing Bank (23/07/2026) ,INE557F08FR8,CRISIL AAA,100.0,100.2236,0.0001,Axis Mutual Fund,AXISBDF,
7.58% Bharat Petroleum Corporation Limited (17/03/2026) ,INE029A08073,CRISIL AAA,100.0,100.2214,0.0001,Axis Mutual Fund,AXISBDF,
Kotak Mahindra Investments Limited (29/01/2026) (ZCB) ,INE975F07HV2,CRISIL AAA,9.0,89.3227,0.0001,Axis Mutual Fund,AXISBDF,
6.67% ICICI Bank Limited (26/11/2028) ,INE090A08UF5,ICRA AAA,5.0,49.5913,$0.00%,Axis Mutual Fund,AXISBDF,
Sub Total,,,,1154760.8317,0.8477,Axis Mutual Fund,AXISBDF,
(b) Privately placed / Unlisted,,,,NIL,NIL,Axis Mutual Fund,AXISBDF,
Sub Total,,,,NIL,NIL,Axis Mutual Fund,AXISBDF,
(c) Securitised Debt,,,,,,Axis Mutual Fund,AXISBDF,
Shivshakti Securitisation Trust (28/09/2029) ,INE2I7G15010,CRISIL AAA(SO),122.0,12323.261,0.009,Axis Mutual Fund,AXISBDF,
Siddhivinayak Securitisation Trust (28/09/2030) ,INE2I7F15012,CRISIL AAA(SO),121.0,12236.5032,0.009,Axis Mutual Fund,AXISBDF,
Radhakrishna Securitisation Trust (28/09/2028) ,INE2I7H15018,CRISIL AAA(SO),78.0,7859.1009,0.0058,Axis Mutual Fund,AXISBDF,
Sub Total,,,,32418.8651,0.0238,Axis Mutual Fund,AXISBDF,
Total,,,,1187179.6969,0.8715,Axis Mutual Fund,AXISBDF,
Money Market Instruments,,,,,,Axis Mutual Fund,AXISBDF,
Certificate of Deposit,,,,,,Axis Mutual Fund,AXISBDF,
Bank of Baroda (24/02/2026) ,INE028A16JJ3,IND A1+,3500.0,17308.4275,0.0127,Axis Mutual Fund,AXISBDF,
Indian Bank (12/03/2026) ,INE562A16OI3,CRISIL A1+,3000.0,14799.39,0.0109,Axis Mutual Fund,AXISBDF,
Union Bank of India (01/06/2026) ,INE692A16KH8,IND A1+,3000.0,14580.36,0.0107,Axis Mutual Fund,AXISBDF,
National Bank For Agriculture and Rural Development (04/02/2026) ,INE261F16926,CRISIL A1+,2000.0,9921.6,0.0073,Axis Mutual Fund,AXISBDF,
Bank of Baroda (06/03/2026) ,INE028A16HW0,CRISIL A1+,2000.0,9875.19,0.0072,Axis Mutual Fund,AXISBDF,
Canara Bank (18/03/2026) ,INE476A16B64,CRISIL A1+,2000.0,9856.21,0.0072,Axis Mutual Fund,AXISBDF,
Kotak Mahindra Bank Limited (19/03/2026) ,INE237A168Z9,CRISIL A1+,2000.0,9855.08,0.0072,Axis Mutual Fund,AXISBDF,
Canara Bank (18/12/2026) ,INE476A16F78,CRISIL A1+,2000.0,9380.99,0.0069,Axis Mutual Fund,AXISBDF,
Export Import Bank of India (20/03/2026) ,INE514E16CK7,CRISIL A1+,1500.0,7389.7275,0.0054,Axis Mutual Fund,AXISBDF,
Union Bank of India (20/05/2026) ,INE692A16KF2,IND A1+,500.0,2435.17,0.0018,Axis Mutual Fund,AXISBDF,
Sub Total,,,,105402.145,0.0774,Axis Mutual Fund,AXISBDF,
Total,,,,105402.145,0.0774,Axis Mutual Fund,AXISBDF,
Others,,,,,,Axis Mutual Fund,AXISBDF,
Alternative Investment Fund Units,,,,,,Axis Mutual Fund,AXISBDF,
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,35306.678,4072.5965,0.003,Axis Mutual Fund,AXISBDF,
Sub Total,,,,4072.5965,0.003,Axis Mutual Fund,AXISBDF,
Total,,,,4072.5965,0.003,Axis Mutual Fund,AXISBDF,
Reverse Repo / TREPS,,,,,,Axis Mutual Fund,AXISBDF,
Clearing Corporation of India Ltd,,,,26201.867,0.0192,Axis Mutual Fund,AXISBDF,
Sub Total,,,,26201.867,0.0192,Axis Mutual Fund,AXISBDF,
Total,,,,26201.867,0.0192,Axis Mutual Fund,AXISBDF,
