Name of the Instrument,ISIN,Industry / Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",YTM~,YTC^,AMC Name,Scheme Name,Rating,Industry,ESG Score $,Core ESG Score,Link to BRSR
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,,,Axis Mutual Fund,AXIS112,,,,,
,,,,,,,,Axis Mutual Fund,AXIS112,,,,,
,,,,,,,,Axis Mutual Fund,AXIS112,,,,,
,Benchmark Name - CRISIL MEDIUM TERM DEBT INDEX,,,,,,,Axis Mutual Fund,AXIS112,,,,,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,,,Axis Mutual Fund,AXIS112,,,,,
Debt Instruments,,,,,,,,Axis Mutual Fund,AXIS113,,,,,
(a) Listed / awaiting listing on Stock Exchange,,,,,,,,Axis Mutual Fund,AXIS113,,,,,
7.59% Small Industries Dev Bank of India (10/02/2026) **,INE556F08KG3,,1100.0,1101.7303,0.1108,0.061351,,Axis Mutual Fund,AXIS113,CRISIL AAA,,,,
7.4% Indian Railway Finance Corporation Limited (18/04/2026) **,INE053F08239,,950.0,952.2211,0.0958,0.064849,,Axis Mutual Fund,AXIS113,CRISIL AAA,,,,
7.22% National Housing Bank (23/07/2026) **,INE557F08FR8,,900.0,902.3031,0.0907,0.066867,,Axis Mutual Fund,AXIS113,CRISIL AAA,,,,
7.58% Bharat Petroleum Corporation Limited (17/03/2026) **,INE029A08073,,900.0,902.0322,0.0907,0.061,,Axis Mutual Fund,AXIS113,CRISIL AAA,,,,
7.57% National Bank For Agriculture and Rural Development (19/03/2026) **,INE261F08DW2,,900.0,902.0034,0.0907,0.06135,,Axis Mutual Fund,AXIS113,CRISIL AAA,,,,
7.6% REC Limited (27/02/2026) **,INE020B08EF4,,900.0,901.4571,0.0907,0.061599,,Axis Mutual Fund,AXIS113,CRISIL AAA,,,,
7.13% Power Finance Corporation Limited (15/07/2026) **,INE134E08LP1,,89.0,890.9808,0.0896,0.06745,,Axis Mutual Fund,AXIS113,CRISIL AAA,,,,
8.1432% LIC Housing Finance Limited (25/03/2026) **,INE115A07QG8,,75.0,752.451,0.0757,0.0629,,Axis Mutual Fund,AXIS113,CRISIL AAA,,,,
7.9873% Tata Capital Limited (17/04/2026) **,INE306N07NH1,,75.0,751.4985,0.0756,0.068949,,Axis Mutual Fund,AXIS113,CRISIL AAA,,,,
7.9237% Bajaj Housing Finance Limited (16/03/2026) **,INE377Y07375,,50.0,501.483,0.0504,0.060602,,Axis Mutual Fund,AXIS113,CRISIL AAA,,,,
7.35% NTPC Limited (17/04/2026) **,INE733E08247,,500.0,500.853,0.0504,0.064171,,Axis Mutual Fund,AXIS113,CRISIL AAA,,,,
8.05% NTPC Limited (05/05/2026) **,INE733E07KA6,,25.0,251.0738,0.0253,0.064171,,Axis Mutual Fund,AXIS113,CRISIL AAA,,,,
7.37% Power Finance Corporation Limited (22/05/2026) **,INE134E08MO2,,50.0,50.0898,0.005,0.065949,,Axis Mutual Fund,AXIS113,CRISIL AAA,,,,
Sub Total,,,,9360.177,0.9414,,,Axis Mutual Fund,AXIS113,,,,,
(b) Privately placed / Unlisted,,,,NIL,NIL,,,Axis Mutual Fund,AXIS113,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXIS113,,,,,
Total,,,,9360.177,0.9414,,,Axis Mutual Fund,AXIS113,,,,,
Reverse Repo / TREPS,,,,,,,,Axis Mutual Fund,AXIS113,,,,,
Clearing Corporation of India Ltd,,,,91.8,0.0092,0.05287023339448856,,Axis Mutual Fund,AXIS113,,,,,
Sub Total,,,,91.8,0.0092,,,Axis Mutual Fund,AXIS113,,,,,
Total,,,,91.8,0.0092,,,Axis Mutual Fund,AXIS113,,,,,
Net Receivables / (Payables),,,,490.783,0.0494,,,Axis Mutual Fund,AXIS113,,,,,
GRAND TOTAL,,,,9942.76,1,,,Axis Mutual Fund,AXIS113,,,,,
,,,,,,,,Axis Mutual Fund,AXIS113,,,,,
**  Thinly Traded / Non Traded Security,,,,,,,,Axis Mutual Fund,AXIS113,,,,,
"~ YTM as on December 31, 2025",,,,,,,,Axis Mutual Fund,AXIS113,,,,,
"^ YTC represents Yield to Call provided by valuation agencies as on December 31, 2025. It is disclosed for Perpetual Bond issued by Banks (i.e. AT-1 Bond / Tier 1 Bond / Tier 2 Bond), as per AMFI Best Practices Guidelines Circular no. 135/BP/91/2020-21 read with SEBI circular No. SEBI/HO/IMD/DF4/CIR/P/2021/034 on Valuation of AT-1 Bonds and Tier 2 Bonds.",,,,,,,,Axis Mutual Fund,AXIS113,,,,,
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,,,Axis Mutual Fund,AXIS113,,,,,
,,,,,,,,Axis Mutual Fund,AXIS113,,,,,
,,,,,,,,Axis Mutual Fund,AXIS113,,,,,
,Benchmark Name - CRISIL MEDIUM TERM DEBT INDEX,,,,,,,Axis Mutual Fund,AXIS113,,,,,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,,,Axis Mutual Fund,AXIS113,,,,,
Equity & Equity related,,,,,,,,Axis Mutual Fund,AXIS500,,,,,
(a) Listed / awaiting listing on Stock Exchanges,,,,,,,,Axis Mutual Fund,AXIS500,,,,,
HDFC Bank Limited,INE040A01034,Banks,238102.0,2360.067,0.0754,,,Axis Mutual Fund,AXIS500,,,,,
Reliance Industries Limited,INE002A01018,Petroleum Products,105096.0,1650.4276,0.0527,,,Axis Mutual Fund,AXIS500,,,,,
ICICI Bank Limited,INE090A01021,Banks,111174.0,1492.9556,0.0477,,,Axis Mutual Fund,AXIS500,,,,,
Bharti Airtel Limited,INE397D01024,Telecom - Services,43369.0,913.1777,0.0292,,,Axis Mutual Fund,AXIS500,,,,,
Infosys Limited,INE009A01021,IT - Software,54525.0,880.7969,0.0281,,,Axis Mutual Fund,AXIS500,,,,,
Larsen & Toubro Limited,INE018A01030,Construction,18277.0,746.3413,0.0238,,,Axis Mutual Fund,AXIS500,,,,,
State Bank of India,INE062A01020,Banks,64585.0,634.3539,0.0203,,,Axis Mutual Fund,AXIS500,,,,,
ITC Limited,INE154A01025,Diversified FMCG,150043.0,604.6733,0.0193,,,Axis Mutual Fund,AXIS500,,,,,
Axis Bank Limited,INE238A01034,Banks,44620.0,566.4063,0.0181,,,Axis Mutual Fund,AXIS500,,,,,
Mahindra & Mahindra Limited,INE101A01026,Automobiles,13899.0,515.5417,0.0165,,,Axis Mutual Fund,AXIS500,,,,,
Tata Consultancy Services Limited,INE467B01029,IT - Software,15917.0,510.3309,0.0163,,,Axis Mutual Fund,AXIS500,,,,,
Kotak Mahindra Bank Limited,INE237A01028,Banks,22887.0,503.7658,0.0161,,,Axis Mutual Fund,AXIS500,,,,,
Bajaj Finance Limited,INE296A01032,Finance,41328.0,407.8247,0.013,,,Axis Mutual Fund,AXIS500,,,,,
Maruti Suzuki India Limited,INE585B01010,Automobiles,2042.0,340.9527,0.0109,,,Axis Mutual Fund,AXIS500,,,,,
Hindustan Unilever Limited,INE030A01027,Diversified FMCG,13832.0,320.3353,0.0102,,,Axis Mutual Fund,AXIS500,,,,,
Eternal Limited,INE758T01015,Retailing,111874.0,311.0657,0.0099,,,Axis Mutual Fund,AXIS500,,,,,
Sun Pharmaceutical Industries Limited,INE044A01036,Pharmaceuticals & Biotechnology,16428.0,282.5123,0.009,,,Axis Mutual Fund,AXIS500,,,,,
HCL Technologies Limited,INE860A01027,IT - Software,16421.0,266.5621,0.0085,,,Axis Mutual Fund,AXIS500,,,,,
Titan Company Limited,INE280A01028,Consumer Durables,6431.0,260.552,0.0083,,,Axis Mutual Fund,AXIS500,,,,,
NTPC Limited,INE733E01010,Power,73956.0,243.722,0.0078,,,Axis Mutual Fund,AXIS500,,,,,
Tata Steel Limited,INE081A01020,Ferrous Metals,129250.0,232.7534,0.0074,,,Axis Mutual Fund,AXIS500,,,,,
Bharat Electronics Limited,INE263A01024,Aerospace & Defense,55848.0,223.1686,0.0071,,,Axis Mutual Fund,AXIS500,,,,,
UltraTech Cement Limited,INE481G01011,Cement & Cement Products,1852.0,218.2397,0.007,,,Axis Mutual Fund,AXIS500,,,,,
Shriram Finance Limited,INE721A01047,Finance,21886.0,218.0283,0.007,,,Axis Mutual Fund,AXIS500,,,,,
Hindalco Industries Limited,INE038A01020,Non - Ferrous Metals,22631.0,200.6691,0.0064,,,Axis Mutual Fund,AXIS500,,,,,
Asian Paints Limited,INE021A01026,Consumer Durables,7063.0,195.6098,0.0063,,,Axis Mutual Fund,AXIS500,,,,,
Power Grid Corporation of India Limited,INE752E01010,Power,70846.0,187.4585,0.006,,,Axis Mutual Fund,AXIS500,,,,,
Bajaj Finserv Limited,INE918I01026,Finance,8920.0,181.9591,0.0058,,,Axis Mutual Fund,AXIS500,,,,,
InterGlobe Aviation Limited,INE646L01027,Transport Services,3522.0,178.1956,0.0057,,,Axis Mutual Fund,AXIS500,,,,,
JSW Steel Limited,INE019A01038,Ferrous Metals,14638.0,170.5034,0.0054,,,Axis Mutual Fund,AXIS500,,,,,
BSE Limited,INE118H01025,Capital Markets,6382.0,167.987,0.0054,,,Axis Mutual Fund,AXIS500,,,,,
Grasim Industries Limited,INE047A01021,Cement & Cement Products,5923.0,167.5617,0.0054,,,Axis Mutual Fund,AXIS500,,,,,
Bajaj Auto Limited,INE917I01010,Automobiles,1731.0,161.7273,0.0052,,,Axis Mutual Fund,AXIS500,,,,,
Vedanta Limited,INE205A01025,Diversified Metals,26305.0,158.9874,0.0051,,,Axis Mutual Fund,AXIS500,,,,,
Adani Ports and Special Economic Zone Limited,INE742F01042,Transport Infrastructure,10771.0,158.3122,0.0051,,,Axis Mutual Fund,AXIS500,,,,,
Tech Mahindra Limited,INE669C01036,IT - Software,9832.0,156.4173,0.005,,,Axis Mutual Fund,AXIS500,,,,,
Eicher Motors Limited,INE066A01021,Automobiles,2130.0,155.7563,0.005,,,Axis Mutual Fund,AXIS500,,,,,
Jio Financial Services Limited,INE758E01017,Finance,51239.0,151.1294,0.0048,,,Axis Mutual Fund,AXIS500,,,,,
Trent Limited,INE849A01020,Retailing,3439.0,147.1548,0.0047,,,Axis Mutual Fund,AXIS500,,,,,
Oil & Natural Gas Corporation Limited,INE213A01029,Oil,60225.0,144.7689,0.0046,,,Axis Mutual Fund,AXIS500,,,,,
Nestle India Limited,INE239A01024,Food Products,11119.0,143.2127,0.0046,,,Axis Mutual Fund,AXIS500,,,,,
SBI Life Insurance Company Limited,INE123W01016,Insurance,6943.0,141.2831,0.0045,,,Axis Mutual Fund,AXIS500,,,,,
Coal India Limited,INE522F01014,Consumable Fuels,35194.0,140.4241,0.0045,,,Axis Mutual Fund,AXIS500,,,,,
TVS Motor Company Limited,INE494B01023,Automobiles,3630.0,135.0287,0.0043,,,Axis Mutual Fund,AXIS500,,,,,
Cipla Limited,INE059A01026,Pharmaceuticals & Biotechnology,8714.0,131.6947,0.0042,,,Axis Mutual Fund,AXIS500,,,,,
Hindustan Aeronautics Limited,INE066F01020,Aerospace & Defense,2937.0,128.8961,0.0041,,,Axis Mutual Fund,AXIS500,,,,,
Divi's Laboratories Limited,INE361B01024,Pharmaceuticals & Biotechnology,1986.0,126.9551,0.0041,,,Axis Mutual Fund,AXIS500,,,,,
HDFC Life Insurance Company Limited,INE795G01014,Insurance,16636.0,124.745,0.004,,,Axis Mutual Fund,AXIS500,,,,,
Max Healthcare Institute Limited,INE027H01010,Healthcare Services,11532.0,120.5209,0.0039,,,Axis Mutual Fund,AXIS500,,,,,
Tata Consumer Products Limited,INE192A01025,Agricultural Food & other Products,10095.0,120.3324,0.0038,,,Axis Mutual Fund,AXIS500,,,,,
Dr. Reddy's Laboratories Limited,INE089A01031,Pharmaceuticals & Biotechnology,9442.0,120.0456,0.0038,,,Axis Mutual Fund,AXIS500,,,,,
Tata Motors Passenger Vehicles Limited,INE155A01022,Automobiles,32360.0,118.8745,0.0038,,,Axis Mutual Fund,AXIS500,,,,,
Wipro Limited,INE075A01022,IT - Software,44148.0,116.2329,0.0037,,,Axis Mutual Fund,AXIS500,,,,,
Hero MotoCorp Limited,INE158A01026,Automobiles,2011.0,116.0548,0.0037,,,Axis Mutual Fund,AXIS500,,,,,
Bharat Petroleum Corporation Limited,INE029A01011,Petroleum Products,30019.0,115.273,0.0037,,,Axis Mutual Fund,AXIS500,,,,,
Apollo Hospitals Enterprise Limited,INE437A01024,Healthcare Services,1604.0,112.9617,0.0036,,,Axis Mutual Fund,AXIS500,,,,,
Cholamandalam Investment and Finance Company Ltd,INE121A01024,Finance,6536.0,111.2558,0.0036,,,Axis Mutual Fund,AXIS500,,,,,
Britannia Industries Limited,INE216A01030,Food Products,1824.0,110.0054,0.0035,,,Axis Mutual Fund,AXIS500,,,,,
Persistent Systems Limited,INE262H01021,IT - Software,1677.0,105.1814,0.0034,,,Axis Mutual Fund,AXIS500,,,,,
Varun Beverages Limited,INE200M01039,Beverages,21179.0,103.7453,0.0033,,,Axis Mutual Fund,AXIS500,,,,,
The Federal Bank Limited,INE171A01029,Banks,38563.0,103.0018,0.0033,,,Axis Mutual Fund,AXIS500,,,,,
The Indian Hotels Company Limited,INE053A01029,Leisure Services,13618.0,100.6166,0.0032,,,Axis Mutual Fund,AXIS500,,,,,
Suzlon Energy Limited,INE040H01021,Electrical Equipment,187379.0,98.6925,0.0032,,,Axis Mutual Fund,AXIS500,,,,,
Tata Power Company Limited,INE245A01021,Power,25999.0,98.6922,0.0032,,,Axis Mutual Fund,AXIS500,,,,,
Indian Oil Corporation Limited,INE242A01010,Petroleum Products,57974.0,96.5035,0.0031,,,Axis Mutual Fund,AXIS500,,,,,
PB Fintech Limited,INE417T01026,Financial Technology (Fintech),5225.0,95.3876,0.003,,,Axis Mutual Fund,AXIS500,,,,,
Cummins India Limited,INE298A01020,Industrial Products,2094.0,92.8563,0.003,,,Axis Mutual Fund,AXIS500,,,,,
Adani Enterprises Limited,INE423A01024,Metals & Minerals Trading,4030.0,90.2599,0.0029,,,Axis Mutual Fund,AXIS500,,,,,
IndusInd Bank Limited,INE095A01012,Banks,10362.0,89.5484,0.0029,,,Axis Mutual Fund,AXIS500,,,,,
Multi Commodity Exchange of India Limited,INE745G01035,Capital Markets,799.0,88.9766,0.0028,,,Axis Mutual Fund,AXIS500,,,,,
LTIMindtree Limited,INE214T01019,IT - Software,1457.0,88.3452,0.0028,,,Axis Mutual Fund,AXIS500,,,,,
IDFC First Bank Limited,INE092T01019,Banks,102907.0,88.0987,0.0028,,,Axis Mutual Fund,AXIS500,,,,,
AU Small Finance Bank Limited,INE949L01017,Banks,8842.0,87.9337,0.0028,,,Axis Mutual Fund,AXIS500,,,,,
Adani Power Limited,INE814H01029,Power,61063.0,87.314,0.0028,,,Axis Mutual Fund,AXIS500,,,,,
Coforge Limited,INE591G01025,IT - Software,5250.0,87.3075,0.0028,,,Axis Mutual Fund,AXIS500,,,,,
Avenue Supermarts Limited,INE192R01011,Retailing,2278.0,86.1585,0.0028,,,Axis Mutual Fund,AXIS500,,,,,
Indus Towers Limited,INE121J01017,Telecom - Services,20445.0,85.6134,0.0027,,,Axis Mutual Fund,AXIS500,,,,,
Bank of Baroda,INE028A01039,Banks,28561.0,84.512,0.0027,,,Axis Mutual Fund,AXIS500,,,,,
HDFC Asset Management Company Limited,INE127D01025,Capital Markets,3150.0,84.1743,0.0027,,,Axis Mutual Fund,AXIS500,,,,,
Samvardhana Motherson International Limited,INE775A01035,Auto Components,69664.0,83.555,0.0027,,,Axis Mutual Fund,AXIS500,,,,,
Canara Bank,INE476A01022,Banks,53029.0,82.1472,0.0026,,,Axis Mutual Fund,AXIS500,,,,,
One 97 Communications Limited,INE982J01020,Financial Technology (Fintech),6310.0,81.9606,0.0026,,,Axis Mutual Fund,AXIS500,,,,,
Ashok Leyland Limited,INE208A01029,"Agricultural, Commercial & Construction Vehicles",45022.0,80.6749,0.0026,,,Axis Mutual Fund,AXIS500,,,,,
Lupin Limited,INE326A01037,Pharmaceuticals & Biotechnology,3808.0,80.3298,0.0026,,,Axis Mutual Fund,AXIS500,,,,,
Info Edge (India) Limited,INE663F01032,Retailing,6016.0,80.2294,0.0026,,,Axis Mutual Fund,AXIS500,,,,,
Power Finance Corporation Limited,INE134E01011,Finance,22567.0,80.2031,0.0026,,,Axis Mutual Fund,AXIS500,,,,,
Swiggy Limited,INE00H001014,Retailing,20681.0,79.8804,0.0026,,,Axis Mutual Fund,AXIS500,,,,,
Godrej Consumer Products Limited,INE102D01028,Personal Products,6306.0,77.0719,0.0025,,,Axis Mutual Fund,AXIS500,,,,,
Bajaj Holdings & Investment Limited,INE118A01012,Finance,680.0,77.0304,0.0025,,,Axis Mutual Fund,AXIS500,,,,,
Dixon Technologies (India) Limited,INE935N01020,Consumer Durables,634.0,76.7267,0.0025,,,Axis Mutual Fund,AXIS500,,,,,
Hindustan Petroleum Corporation Limited,INE094A01015,Petroleum Products,15161.0,75.661,0.0024,,,Axis Mutual Fund,AXIS500,,,,,
ICICI Lombard General Insurance Company Limited,INE765G01017,Insurance,3768.0,73.9319,0.0024,,,Axis Mutual Fund,AXIS500,,,,,
Fortis Healthcare Limited,INE061F01013,Healthcare Services,8209.0,72.5676,0.0023,,,Axis Mutual Fund,AXIS500,,,,,
Pidilite Industries Limited,INE318A01026,Chemicals & Petrochemicals,4869.0,72.1781,0.0023,,,Axis Mutual Fund,AXIS500,,,,,
GAIL (India) Limited,INE129A01019,Gas,41721.0,71.8269,0.0023,,,Axis Mutual Fund,AXIS500,,,,,
SRF Limited,INE647A01010,Chemicals & Petrochemicals,2284.0,70.233,0.0022,,,Axis Mutual Fund,AXIS500,,,,,
REC Limited,INE020B01018,Finance,19668.0,70.1754,0.0022,,,Axis Mutual Fund,AXIS500,,,,,
UPL Limited,INE628A01036,Fertilizers & Agrochemicals,8777.0,69.7903,0.0022,,,Axis Mutual Fund,AXIS500,,,,,
DLF Limited,INE271C01023,Realty,10106.0,69.4686,0.0022,,,Axis Mutual Fund,AXIS500,,,,,
Max Financial Services Limited,INE180A01020,Insurance,4149.0,69.363,0.0022,,,Axis Mutual Fund,AXIS500,,,,,
CG Power and Industrial Solutions Limited,INE067A01029,Electrical Equipment,10650.0,69.0014,0.0022,,,Axis Mutual Fund,AXIS500,,,,,
Laurus Labs Limited,INE947Q01028,Pharmaceuticals & Biotechnology,6172.0,68.3858,0.0022,,,Axis Mutual Fund,AXIS500,,,,,
Punjab National Bank,INE160A01022,Banks,54425.0,67.2584,0.0021,,,Axis Mutual Fund,AXIS500,,,,,
United Spirits Limited,INE854D01024,Beverages,4656.0,67.2187,0.0021,,,Axis Mutual Fund,AXIS500,,,,,
Muthoot Finance Limited,INE414G01012,Finance,1689.0,64.3796,0.0021,,,Axis Mutual Fund,AXIS500,,,,,
Torrent Pharmaceuticals Limited,INE685A01028,Pharmaceuticals & Biotechnology,1648.0,63.448,0.002,,,Axis Mutual Fund,AXIS500,,,,,
Marico Limited,INE196A01026,Agricultural Food & other Products,8340.0,62.6,0.002,,,Axis Mutual Fund,AXIS500,,,,,
Polycab India Limited,INE455K01017,Industrial Products,819.0,62.3996,0.002,,,Axis Mutual Fund,AXIS500,,,,,
Bharat Forge Limited,INE465A01025,Auto Components,4214.0,61.9627,0.002,,,Axis Mutual Fund,AXIS500,,,,,
GE Vernova T&D India Limited,INE200A01026,Electrical Equipment,1962.0,61.4597,0.002,,,Axis Mutual Fund,AXIS500,,,,,
Jindal Steel Limited,INE749A01030,Ferrous Metals,5799.0,61.1099,0.002,,,Axis Mutual Fund,AXIS500,,,,,
Yes Bank Limited,INE528G01035,Banks,273920.0,59.1667,0.0019,,,Axis Mutual Fund,AXIS500,,,,,
GMR Airports Limited,INE776C01039,Transport Infrastructure,56594.0,59.0672,0.0019,,,Axis Mutual Fund,AXIS500,,,,,
Bharat Heavy Electricals Limited,INE257A01026,Electrical Equipment,20221.0,58.1253,0.0019,,,Axis Mutual Fund,AXIS500,,,,,
Sundaram Finance Limited,INE660A01013,Finance,1082.0,57.1599,0.0018,,,Axis Mutual Fund,AXIS500,,,,,
FSN E-Commerce Ventures Limited,INE388Y01029,Retailing,21442.0,56.8535,0.0018,,,Axis Mutual Fund,AXIS500,,,,,
Havells India Limited,INE176B01034,Consumer Durables,3977.0,56.6683,0.0018,,,Axis Mutual Fund,AXIS500,,,,,
Shree Cement Limited,INE070A01015,Cement & Cement Products,210.0,55.8075,0.0018,,,Axis Mutual Fund,AXIS500,,,,,
Adani Energy Solutions Limited,INE931S01010,Power,5377.0,55.2406,0.0018,,,Axis Mutual Fund,AXIS500,,,,,
APL Apollo Tubes Limited,INE702C01027,Industrial Products,2852.0,54.5873,0.0017,,,Axis Mutual Fund,AXIS500,,,,,
The Phoenix Mills Limited,INE211B01039,Realty,2937.0,54.4373,0.0017,,,Axis Mutual Fund,AXIS500,,,,,
Ambuja Cements Limited,INE079A01024,Cement & Cement Products,9674.0,53.8213,0.0017,,,Axis Mutual Fund,AXIS500,,,,,
Aurobindo Pharma Limited,INE406A01037,Pharmaceuticals & Biotechnology,4416.0,52.2413,0.0017,,,Axis Mutual Fund,AXIS500,,,,,
Hyundai Motor India Ltd,INE0V6F01027,Automobiles,2221.0,51.0386,0.0016,,,Axis Mutual Fund,AXIS500,,,,,
Mphasis Limited,INE356A01018,IT - Software,1794.0,50.0741,0.0016,,,Axis Mutual Fund,AXIS500,,,,,
Alkem Laboratories Limited,INE540L01014,Pharmaceuticals & Biotechnology,908.0,49.999,0.0016,,,Axis Mutual Fund,AXIS500,,,,,
Adani Green Energy Limited,INE364U01010,Power,4846.0,49.1917,0.0016,,,Axis Mutual Fund,AXIS500,,,,,
MRF Limited,INE883A01011,Auto Components,32.0,48.9136,0.0016,,,Axis Mutual Fund,AXIS500,,,,,
Voltas Limited,INE226A01021,Consumer Durables,3582.0,48.7582,0.0016,,,Axis Mutual Fund,AXIS500,,,,,
Bosch Limited,INE323A01026,Auto Components,135.0,48.654,0.0016,,,Axis Mutual Fund,AXIS500,,,,,
Glenmark Pharmaceuticals Limited,INE935A01035,Pharmaceuticals & Biotechnology,2382.0,48.4785,0.0015,,,Axis Mutual Fund,AXIS500,,,,,
Godrej Properties Limited,INE484J01027,Realty,2377.0,47.6446,0.0015,,,Axis Mutual Fund,AXIS500,,,,,
360 One WAM Limited,INE466L01038,Capital Markets,3954.0,47.0526,0.0015,,,Axis Mutual Fund,AXIS500,,,,,
Dabur India Limited,INE016A01026,Personal Products,9298.0,46.8247,0.0015,,,Axis Mutual Fund,AXIS500,,,,,
Solar Industries India Limited,INE343H01029,Chemicals & Petrochemicals,382.0,46.8026,0.0015,,,Axis Mutual Fund,AXIS500,,,,,
Lodha Developers Limited,INE670K01029,Realty,4408.0,46.7821,0.0015,,,Axis Mutual Fund,AXIS500,,,,,
Union Bank of India,INE692A01016,Banks,30421.0,46.7753,0.0015,,,Axis Mutual Fund,AXIS500,,,,,
Indian Bank,INE562A01011,Banks,5576.0,46.6851,0.0015,,,Axis Mutual Fund,AXIS500,,,,,
Vodafone Idea Limited,INE669E01016,Telecom - Services,433420.0,46.636,0.0015,,,Axis Mutual Fund,AXIS500,,,,,
NMDC Limited,INE584A01023,Minerals & Mining,54491.0,45.3202,0.0014,,,Axis Mutual Fund,AXIS500,,,,,
National Aluminium Company Limited,INE139A01034,Non - Ferrous Metals,14093.0,44.2943,0.0014,,,Axis Mutual Fund,AXIS500,,,,,
Waaree Energies Limited,INE377N01017,Electrical Equipment,1474.0,43.7498,0.0014,,,Axis Mutual Fund,AXIS500,,,,,
Vishal Mega Mart Limited,INE01EA01019,Retailing,31908.0,43.5129,0.0014,,,Axis Mutual Fund,AXIS500,,,,,
KEI Industries Limited,INE878B01027,Industrial Products,973.0,43.3977,0.0014,,,Axis Mutual Fund,AXIS500,,,,,
Tube Investments of India Limited,INE974X01010,Auto Components,1650.0,43.1327,0.0014,,,Axis Mutual Fund,AXIS500,,,,,
Colgate Palmolive (India) Limited,INE259A01022,Personal Products,2073.0,43.0293,0.0014,,,Axis Mutual Fund,AXIS500,,,,,
Siemens Limited,INE003A01024,Electrical Equipment,1399.0,42.8556,0.0014,,,Axis Mutual Fund,AXIS500,,,,,
Jindal Stainless Limited,INE220G01021,Ferrous Metals,5092.0,42.7346,0.0014,,,Axis Mutual Fund,AXIS500,,,,,
ABB India Limited,INE117A01022,Electrical Equipment,826.0,42.7042,0.0014,,,Axis Mutual Fund,AXIS500,,,,,
Prestige Estates Projects Limited,INE811K01011,Realty,2666.0,42.5174,0.0014,,,Axis Mutual Fund,AXIS500,,,,,
Aditya Birla Capital Limited,INE674K01013,Finance,11827.0,42.3052,0.0014,,,Axis Mutual Fund,AXIS500,,,,,
Coromandel International Limited,INE169A01031,Fertilizers & Agrochemicals,1859.0,42.1324,0.0013,,,Axis Mutual Fund,AXIS500,,,,,
Mahindra & Mahindra Financial Services Limited,INE774D01024,Finance,10417.0,41.9805,0.0013,,,Axis Mutual Fund,AXIS500,,,,,
PI Industries Limited,INE603J01030,Fertilizers & Agrochemicals,1278.0,41.3842,0.0013,,,Axis Mutual Fund,AXIS500,,,,,
