Name of the Instrument,ISIN,Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Industry / Rating
7.25% Nuclear Power Corporation Of India Limited (15/12/2027) ,INE206D08410,CRISIL AAA,250.0,2529.61,0.0019,Axis Mutual Fund,AXISBDF,
7.43% National Bank For Financing Infrastructure And Development (16/06/2033) ,INE0KUG08019,CRISIL AAA,2500.0,2525.0675,0.0019,Axis Mutual Fund,AXISBDF,
7.70% Power Finance Corporation Limited (15/09/2026) ,INE134E08MK0,CRISIL AAA,2500.0,2515.97,0.0018,Axis Mutual Fund,AXISBDF,
7.56% Bajaj Housing Finance Limited (04/10/2034) ,INE377Y07516,CRISIL AAA,2500.0,2514.4875,0.0018,Axis Mutual Fund,AXISBDF,
6.97% Karnataka State Development Loans (26/02/2030),IN1920190197,Sovereign,2500000.0,2510.8375,0.0018,Axis Mutual Fund,AXISBDF,
7.64% REC Limited (30/06/2026),INE020B08EM0,CRISIL AAA,2500.0,2509.305,0.0018,Axis Mutual Fund,AXISBDF,
7.3763% Bajaj Finance Limited (26/06/2028),INE296A07TJ4,CRISIL AAA,2500.0,2505.835,0.0018,Axis Mutual Fund,AXISBDF,
7.55% Bajaj Finance Limited (03/04/2035) ,INE296A07TH8,CRISIL AAA,2500.0,2498.655,0.0018,Axis Mutual Fund,AXISBDF,
7.50% Bajaj Housing Finance Limited (09/04/2035) ,INE377Y07540,CRISIL AAA,2500.0,2498.2125,0.0018,Axis Mutual Fund,AXISBDF,
6.99% Sundaram Finance Limited (28/05/2027) ,INE660A07RY4,CRISIL AAA,2500.0,2495.46,0.0018,Axis Mutual Fund,AXISBDF,
6.95% Bajaj Housing Finance Limited (28/01/2028) ,INE377Y07615,CRISIL AAA,2500.0,2495.13,0.0018,Axis Mutual Fund,AXISBDF,
6.98% Power Grid Corporation of India Limited (12/08/2035) ,INE752E08791,CRISIL AAA,2500.0,2480.3975,0.0018,Axis Mutual Fund,AXISBDF,
7.06% REC Limited (30/06/2035) ,INE020B08GA0,ICRA AAA,2500.0,2464.8725,0.0018,Axis Mutual Fund,AXISBDF,
6.58% Indian Railway Finance Corporation Limited (30/05/2030) ,INE053F08528,CRISIL AAA,2500.0,2462.835,0.0018,Axis Mutual Fund,AXISBDF,
6.73% Indian Railway Finance Corporation Limited (06/07/2035) ,INE053F07CQ9,CRISIL AAA,250.0,2429.17,0.0018,Axis Mutual Fund,AXISBDF,
6.68% Government of India (07/07/2040),IN0020250042,Sovereign,2500000.0,2426.4375,0.0018,Axis Mutual Fund,AXISBDF,
7.47% Small Industries Dev Bank of India (05/09/2029) ,INE556F08KR0,CRISIL AAA,2285.0,2318.1165,0.0017,Axis Mutual Fund,AXISBDF,
8.1% Bajaj Housing Finance Limited (08/07/2027),INE377Y07482,CRISIL AAA,1800.0,1826.7606,0.0013,Axis Mutual Fund,AXISBDF,
8.05% NTPC Limited (05/05/2026) ,INE733E07KA6,CRISIL AAA,175.0,1757.7595,0.0013,Axis Mutual Fund,AXISBDF,
7.9% Sundaram Home Finance Limited (24/09/2027) ,INE667F07IV3,ICRA AAA,1500.0,1519.3575,0.0011,Axis Mutual Fund,AXISBDF,
7.86% Tata Capital Housing Finance Limited (21/09/2029) ,INE033L07IJ1,CRISIL AAA,1000.0,1020.611,0.0008,Axis Mutual Fund,AXISBDF,
7.39% Maharashtra State Development Loans (03/07/2030),IN2220190036,Sovereign,1000000.0,1020.078,0.0007,Axis Mutual Fund,AXISBDF,
8.24% L&T Finance Limited (16/06/2027) ,INE498L07038,ICRA AAA,1000.0,1014.407,0.0007,Axis Mutual Fund,AXISBDF,
7.9265% LIC Housing Finance Limited (14/07/2027) ,INE115A07QS3,CRISIL AAA,1000.0,1012.908,0.0007,Axis Mutual Fund,AXISBDF,
7.44% Power Finance Corporation Limited (11/06/2027) ,INE134E08JC3,CRISIL AAA,100.0,1008.533,0.0007,Axis Mutual Fund,AXISBDF,
7.10% Power Finance Corporation Limited (11/01/2027) ,INE134E08IP7,CRISIL AAA,100.0,1004.416,0.0007,Axis Mutual Fund,AXISBDF,
8.32% HDFC Bank Limited (04/05/2026) ,INE040A08468,CRISIL AAA,10.0,1004.199,0.0007,Axis Mutual Fund,AXISBDF,
7.9% Kotak Mahindra Prime Limited (13/01/2026) ,INE916DA7SB4,CRISIL AAA,1000.0,1000.461,0.0007,Axis Mutual Fund,AXISBDF,
6.95% Rajasthan State Development Loans (10/02/2031),IN2920200655,Sovereign,1000000.0,990.893,0.0007,Axis Mutual Fund,AXISBDF,
5.74% Government of India (15/11/2026),IN0020210186,Sovereign,550000.0,550.7816,0.0004,Axis Mutual Fund,AXISBDF,
7.40 % National Bank For Agriculture and Rural Development (29/04/2030) ,INE261F08EL3,CRISIL AAA,500.0,506.4415,0.0004,Axis Mutual Fund,AXISBDF,
8.53% Tamil Nadu State Development Loans (09/03/2026),IN3120150211,Sovereign,500000.0,503.0355,0.0004,Axis Mutual Fund,AXISBDF,
8.04% Chattisgarh State Development Loans (20/03/2026),IN3520180131,Sovereign,500000.0,502.905,0.0004,Axis Mutual Fund,AXISBDF,
8.255% Kotak Mahindra Prime Limited (22/06/2026) ,INE916DA7SF5,CRISIL AAA,500.0,502.5525,0.0004,Axis Mutual Fund,AXISBDF,
6.28% Government of India (14/07/2032),IN0020250059,Sovereign,500000.0,492.2425,0.0004,Axis Mutual Fund,AXISBDF,
5.79% Government of India (11/05/2030),IN0020200070,Sovereign,500000.0,488.99,0.0004,Axis Mutual Fund,AXISBDF,
7.37% Power Finance Corporation Limited (22/05/2026) ,INE134E08MO2,CRISIL AAA,450.0,450.9117,0.0003,Axis Mutual Fund,AXISBDF,
5.63% Government of India (12/04/2026),IN0020210012,Sovereign,350000.0,350.1029,0.0003,Axis Mutual Fund,AXISBDF,
6.92% Government of India (18/11/2039),IN0020240134,Sovereign,345400.0,345.0546,0.0003,Axis Mutual Fund,AXISBDF,
8.285% Tata Capital Limited (10/05/2027),INE976I07CT9,CRISIL AAA,250.0,253.3125,0.0002,Axis Mutual Fund,AXISBDF,
8.1432% LIC Housing Finance Limited (25/03/2026) ,INE115A07QG8,CRISIL AAA,25.0,250.7843,0.0002,Axis Mutual Fund,AXISBDF,
6.79% Government of India (30/12/2031),IN0020240191,Sovereign,175100.0,177.5062,0.0001,Axis Mutual Fund,AXISBDF,
7.54% Bihar State Development Loans (03/09/2033),IN1320250088,Sovereign,165700.0,166.3046,0.0001,Axis Mutual Fund,AXISBDF,
8.72% Tamilnadu State Development Loans (19/09/2026),IN3120180127,Sovereign,150000.0,153.1085,0.0001,Axis Mutual Fund,AXISBDF,
7.08% Andhra Pradesh State Development Loans (26/03/2037),IN1020240801,Sovereign,140900.0,137.4105,0.0001,Axis Mutual Fund,AXISBDF,
7.13% Power Finance Corporation Limited (15/07/2026) ,INE134E08LP1,CRISIL AAA,11.0,110.1043,0.0001,Axis Mutual Fund,AXISBDF,
8.25% Mahindra & Mahindra Financial Services Limited (25/03/2027) ,INE774D07VE1,CRISIL AAA,100.0,101.2326,0.0001,Axis Mutual Fund,AXISBDF,
7.22% National Housing Bank (23/07/2026) ,INE557F08FR8,CRISIL AAA,100.0,100.2464,0.0001,Axis Mutual Fund,AXISBDF,
7.58% Bharat Petroleum Corporation Limited (17/03/2026) ,INE029A08073,CRISIL AAA,100.0,100.2053,0.0001,Axis Mutual Fund,AXISBDF,
Kotak Mahindra Investments Limited (29/01/2026) (ZCB) ,INE975F07HV2,CRISIL AAA,9.0,89.4593,0.0001,Axis Mutual Fund,AXISBDF,
6.67% ICICI Bank Limited (26/11/2028) ,INE090A08UF5,ICRA AAA,5.0,49.5793,$0.00%,Axis Mutual Fund,AXISBDF,
Sub Total,,,,1128066.4952,0.8293,Axis Mutual Fund,AXISBDF,
(b) Privately placed / Unlisted,,,,NIL,NIL,Axis Mutual Fund,AXISBDF,
Sub Total,,,,NIL,NIL,Axis Mutual Fund,AXISBDF,
(c) Securitised Debt,,,,,,Axis Mutual Fund,AXISBDF,
Shivshakti Securitisation Trust (28/09/2029) ,INE2I7G15010,CRISIL AAA(SO),122.0,12239.9224,0.009,Axis Mutual Fund,AXISBDF,
Siddhivinayak Securitisation Trust (28/09/2030) ,INE2I7F15012,CRISIL AAA(SO),121.0,12164.0528,0.0089,Axis Mutual Fund,AXISBDF,
Radhakrishna Securitisation Trust (28/09/2028) ,INE2I7H15018,CRISIL AAA(SO),78.0,7799.3713,0.0057,Axis Mutual Fund,AXISBDF,
Sub Total,,,,32203.3465,0.0237,Axis Mutual Fund,AXISBDF,
Total,,,,1160269.8417,0.853,Axis Mutual Fund,AXISBDF,
Money Market Instruments,,,,,,Axis Mutual Fund,AXISBDF,
Certificate of Deposit,,,,,,Axis Mutual Fund,AXISBDF,
Bank of Baroda (24/02/2026) ,INE028A16JJ3,IND A1+,3500.0,17329.13,0.0127,Axis Mutual Fund,AXISBDF,
Indian Bank (12/03/2026) ,INE562A16OI3,CRISIL A1+,3000.0,14816.415,0.0109,Axis Mutual Fund,AXISBDF,
Union Bank of India (01/06/2026) ,INE692A16KH8,IND A1+,3000.0,14601.54,0.0107,Axis Mutual Fund,AXISBDF,
National Bank For Agriculture and Rural Development (04/02/2026) ,INE261F16926,CRISIL A1+,2000.0,9933.88,0.0073,Axis Mutual Fund,AXISBDF,
Bank of Baroda (06/03/2026) ,INE028A16HW0,CRISIL A1+,2000.0,9886.19,0.0073,Axis Mutual Fund,AXISBDF,
Canara Bank (18/03/2026) ,INE476A16B64,CRISIL A1+,2000.0,9867.85,0.0073,Axis Mutual Fund,AXISBDF,
Kotak Mahindra Bank Limited (19/03/2026) ,INE237A168Z9,CRISIL A1+,2000.0,9866.67,0.0073,Axis Mutual Fund,AXISBDF,
Canara Bank (18/12/2026) ,INE476A16F78,CRISIL A1+,2000.0,9393.92,0.0069,Axis Mutual Fund,AXISBDF,
Export Import Bank of India (20/03/2026) ,INE514E16CK7,CRISIL A1+,1500.0,7398.885,0.0054,Axis Mutual Fund,AXISBDF,
Union Bank of India (20/05/2026) ,INE692A16KF2,IND A1+,500.0,2438.48,0.0018,Axis Mutual Fund,AXISBDF,
Sub Total,,,,105532.96,0.0776,Axis Mutual Fund,AXISBDF,
Treasury Bill,,,,,,Axis Mutual Fund,AXISBDF,
182 Days Tbill (MD 26/03/2026),IN002025Y263,Sovereign,20000000.0,19747.8,0.0145,Axis Mutual Fund,AXISBDF,
Sub Total,,,,19747.8,0.0145,Axis Mutual Fund,AXISBDF,
Total,,,,125280.76,0.0921,Axis Mutual Fund,AXISBDF,
Others,,,,,,Axis Mutual Fund,AXISBDF,
Alternative Investment Fund Units,,,,,,Axis Mutual Fund,AXISBDF,
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,35306.678,4076.2967,0.003,Axis Mutual Fund,AXISBDF,
Sub Total,,,,4076.2967,0.003,Axis Mutual Fund,AXISBDF,
Total,,,,4076.2967,0.003,Axis Mutual Fund,AXISBDF,
Reverse Repo / TREPS,,,,,,Axis Mutual Fund,AXISBDF,
Clearing Corporation of India Ltd,,,,31095.7093,0.0229,Axis Mutual Fund,AXISBDF,
