Name of the Instrument,ISIN,Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Industry / Rating,Reporting Date
7.08% Power Grid Corporation of India Limited (25/10/2034) ,INE752E08767,CRISIL AAA,12500.0,12544.8375,0.0092,Axis Mutual Fund,AXISBDF,,2020-12-12
7.123% Tata Capital Housing Finance Limited (21/07/2027),INE033L07IO1,CRISIL AAA,12500.0,12506.15,0.0091,Axis Mutual Fund,AXISBDF,,2020-12-12
6.60% REC Limited (30/06/2027),INE020B08FZ9,ICRA AAA,12500.0,12461.8,0.0091,Axis Mutual Fund,AXISBDF,,2020-12-12
6.92% Indian Railway Finance Corporation Limited (29/08/2031) ,INE053F08122,CRISIL AAA,1250.0,12460.8875,0.0091,Axis Mutual Fund,AXISBDF,,2020-12-12
7.26% Government of India (06/02/2033),IN0020220151,Sovereign,10500000.0,10868.004,0.0079,Axis Mutual Fund,AXISBDF,,2020-12-12
7.70% National Bank For Agriculture and Rural Development (30/09/2027) ,INE261F08EI9,ICRA AAA,10100.0,10244.9653,0.0075,Axis Mutual Fund,AXISBDF,,2020-12-12
8.18% Mahindra & Mahindra Financial Services Limited (31/05/2029) ,INE774D07VF8,CRISIL AAA,10000.0,10225.12,0.0075,Axis Mutual Fund,AXISBDF,,2020-12-12
7.49% Small Industries Dev Bank of India (11/06/2029) ,INE556F08KX8,CRISIL AAA,10000.0,10158.7,0.0074,Axis Mutual Fund,AXISBDF,,2020-12-12
7.75% Small Industries Dev Bank of India (10/06/2027) ,INE556F08KN9,CRISIL AAA,10000.0,10135.0,0.0074,Axis Mutual Fund,AXISBDF,,2020-12-12
7.35% National Housing Bank (02/01/2032) ,INE557F08GD6,CARE AAA,10000.0,10122.49,0.0074,Axis Mutual Fund,AXISBDF,,2020-12-12
7.43% National Bank For Financing Infrastructure And Development (04/07/2034) ,INE0KUG08035,CRISIL AAA,10000.0,10102.38,0.0074,Axis Mutual Fund,AXISBDF,,2020-12-12
7.5519% HDB Financial Services Limited (04/04/2029) ,INE756I07FE0,CRISIL AAA,10000.0,10052.33,0.0074,Axis Mutual Fund,AXISBDF,,2020-12-12
7.68% Power Finance Corporation Limited (15/07/2030) ,INE134E08KR9,CRISIL AAA,950.0,9740.844,0.0071,Axis Mutual Fund,AXISBDF,,2020-12-12
8.23% Indian Railway Finance Corporation Limited (29/03/2029) ,INE053F07BE7,CRISIL AAA,900.0,9343.539,0.0068,Axis Mutual Fund,AXISBDF,,2020-12-12
7.35% Export Import Bank of India (27/07/2028) ,INE514E08GE8,CRISIL AAA,9000.0,9124.884,0.0067,Axis Mutual Fund,AXISBDF,,2020-12-12
7.64% National Bank For Agriculture and Rural Development (06/12/2029) ,INE261F08EJ7,ICRA AAA,8500.0,8704.9435,0.0064,Axis Mutual Fund,AXISBDF,,2020-12-12
7.40% Power Finance Corporation Limited (15/01/2030) ,INE134E08NH4,CRISIL AAA,7500.0,7614.405,0.0056,Axis Mutual Fund,AXISBDF,,2020-12-12
7.59% Small Industries Dev Bank of India (10/02/2026),INE556F08KG3,CRISIL AAA,7600.0,7613.3532,0.0056,Axis Mutual Fund,AXISBDF,,2020-12-12
7.46% REC Limited (30/06/2028) ,INE020B08EK4,CRISIL AAA,7500.0,7605.0825,0.0056,Axis Mutual Fund,AXISBDF,,2020-12-12
7.59% National Housing Bank (08/09/2027) ,INE557F08FZ1,CRISIL AAA,7500.0,7597.9875,0.0056,Axis Mutual Fund,AXISBDF,,2020-12-12
7.04% Tamilnadu State Development Loans (19/03/2030),IN3120240707,Sovereign,7500000.0,7577.3175,0.0055,Axis Mutual Fund,AXISBDF,,2020-12-12
7.32% REC Limited (28/02/2035) ,INE020B08FQ8,CRISIL AAA,7500.0,7571.2725,0.0055,Axis Mutual Fund,AXISBDF,,2020-12-12
7.6937% Nexus Select Trust - REIT (28/05/2027) ,INE0NDH07043,CRISIL AAA,7500.0,7552.965,0.0055,Axis Mutual Fund,AXISBDF,,2020-12-12
7.51% REC Limited (31/07/2026) ,INE020B08EI8,CRISIL AAA,7500.0,7528.29,0.0055,Axis Mutual Fund,AXISBDF,,2020-12-12
6.94% Power Grid Corporation of India Limited (15/04/2035) ,INE752E08783,CRISIL AAA,7500.0,7452.5175,0.0055,Axis Mutual Fund,AXISBDF,,2020-12-12
7.64% REC Limited (30/04/2027) ,INE020B08EX7,ICRA AAA,7000.0,7073.066,0.0052,Axis Mutual Fund,AXISBDF,,2020-12-12
7.8% Tata Capital Housing Finance Limited (05/08/2027) ,INE033L07HU0,CRISIL AAA,680.0,6872.5084,0.005,Axis Mutual Fund,AXISBDF,,2020-12-12
7.71% LIC Housing Finance Limited (09/05/2033) ,INE115A07QI4,CRISIL AAA,600.0,6126.258,0.0045,Axis Mutual Fund,AXISBDF,,2020-12-12
7.7951% Bajaj Finance Limited (10/12/2027) ,INE296A07TF2,CRISIL AAA,6000.0,6067.26,0.0044,Axis Mutual Fund,AXISBDF,,2020-12-12
7.56% REC Limited (31/08/2027) ,INE020B08FF1,ICRA AAA,5500.0,5564.5645,0.0041,Axis Mutual Fund,AXISBDF,,2020-12-12
HDB Financial Services Limited (13/01/2026) (ZCB) ,INE756I07EK0,CRISIL AAA,436.0,5561.459,0.0041,Axis Mutual Fund,AXISBDF,,2020-12-12
7.64% Power Finance Corporation Limited (22/02/2033) ,INE134E08MA1,CRISIL AAA,5000.0,5123.24,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
7.62% National Bank For Agriculture and Rural Development (10/05/2029) ,INE261F08EH1,CRISIL AAA,5000.0,5103.73,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
8.05% HDB Financial Services Limited (08/08/2029) ,INE756I07EV7,CRISIL AAA,500.0,5101.29,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
7.48% Indian Railway Finance Corporation Limited (29/08/2034) ,INE053F07BV1,CRISIL AAA,500.0,5098.28,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
7.64% LIC Housing Finance Limited (26/07/2033) ,INE115A07QL8,CRISIL AAA,500.0,5087.785,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
7.65% HDFC Bank Limited (25/05/2033) ,INE040A08930,CRISIL AAA,5000.0,5086.22,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
7.44% Indian Railway Finance Corporation Limited (13/06/2034) ,INE053F08395,CRISIL AAA,5000.0,5083.425,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
8% Tata Capital Housing Finance Limited (03/11/2027) ,INE033L07HY2,CRISIL AAA,500.0,5080.1,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
7.40% Power Finance Corporation Limited (15/01/2035) ,INE134E08NN2,CRISIL AAA,5000.0,5073.515,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
7.45% Export Import Bank of India (12/04/2028) ,INE514E08GB4,CRISIL AAA,5000.0,5072.95,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
7.83% Kotak Mahindra Prime Limited (13/07/2028),INE916DA7SJ7,CRISIL AAA,5000.0,5067.98,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
7.38% Power Finance Corporation Limited (15/01/2032) ,INE134E08NM4,CRISIL AAA,5000.0,5059.655,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
7.12% Export Import Bank of India (27/06/2030) ,INE514E08GF5,CRISIL AAA,5000.0,5047.54,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
7.27% Indian Railway Finance Corporation Limited (15/06/2027) ,INE053F07AB5,CRISIL AAA,500.0,5036.62,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
7.20% Larsen & Toubro Limited (22/01/2035) ,INE018A08BM2,CRISIL AAA,5000.0,5017.565,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
7.27% Tata Capital Housing Finance Limited (25/04/2028) ,INE033L07IN3,CRISIL AAA,5000.0,5016.09,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
7.10% Bajaj Housing Finance Limited (16/10/2028),INE377Y07607,CRISIL AAA,5000.0,5002.14,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
7.4% Bharti Telecom Limited (01/02/2029) ,INE403D08298,CRISIL AAA,5000.0,5000.065,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-12
6.97% Bajaj Housing Finance Limited (17/07/2028) ,INE377Y07599,CRISIL AAA,5000.0,4985.66,0.0036,Axis Mutual Fund,AXISBDF,,2020-12-12
6.66% National Bank For Agriculture and Rural Development (12/10/2028) ,INE261F08EP4,ICRA AAA,5000.0,4972.25,0.0036,Axis Mutual Fund,AXISBDF,,2020-12-12
6.61% Power Finance Corporation Limited (15/07/2028) ,INE134E08NS1,CRISIL AAA,5000.0,4971.44,0.0036,Axis Mutual Fund,AXISBDF,,2020-12-12
7.15% Indian Railway Finance Corporation Limited (14/11/2039) ,INE053F08437,CRISIL AAA,5000.0,4946.345,0.0036,Axis Mutual Fund,AXISBDF,,2020-12-12
7.68% National Bank For Agriculture and Rural Development (30/04/2029) ,INE261F08EG3,CRISIL AAA,4500.0,4600.6065,0.0034,Axis Mutual Fund,AXISBDF,,2020-12-12
7.4% National Housing Bank (16/07/2026) ,INE557F08FS6,CRISIL AAA,4500.0,4515.2145,0.0033,Axis Mutual Fund,AXISBDF,,2020-12-12
8.4% Indian Railway Finance Corporation Limited (08/01/2029) ,INE053F07AZ4,CRISIL AAA,400.0,4161.236,0.003,Axis Mutual Fund,AXISBDF,,2020-12-12
7.57% National Bank For Agriculture and Rural Development (19/03/2026) ,INE261F08DW2,CRISIL AAA,4100.0,4109.184,0.003,Axis Mutual Fund,AXISBDF,,2020-12-12
7.85% Bajaj Housing Finance Limited (01/09/2028),INE377Y07433,CRISIL AAA,400.0,4072.62,0.003,Axis Mutual Fund,AXISBDF,,2020-12-12
7.29% National Housing Bank (04/07/2031) ,INE557F08GC8,CARE AAA,3500.0,3538.8605,0.0026,Axis Mutual Fund,AXISBDF,,2020-12-12
5.81% REC Limited (31/12/2025) ,INE020B08DH2,CRISIL AAA,350.0,3499.566,0.0026,Axis Mutual Fund,AXISBDF,,2020-12-12
8.3439% HDB Financial Services Limited (05/07/2027) ,INE756I07EZ8,CRISIL AAA,3000.0,3046.38,0.0022,Axis Mutual Fund,AXISBDF,,2020-12-12
7.08% Karnataka State Development Loans (12/08/2031),IN1920240232,Sovereign,3000000.0,3019.938,0.0022,Axis Mutual Fund,AXISBDF,,2020-12-12
6.87% Indian Railway Finance Corporation Limited (14/04/2032) ,INE053F08163,CRISIL AAA,300.0,2965.941,0.0022,Axis Mutual Fund,AXISBDF,,2020-12-12
7.88% IndiGRID Infrastructure Trust (30/04/2029) ,INE219X07439,CRISIL AAA,2500.0,2565.0325,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-12
7.71% HDFC Bank Limited (20/12/2033) ,INE040A08AJ4,CRISIL AAA,2500.0,2562.7525,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-12
7.83% Small Industries Dev Bank of India (24/11/2028) ,INE556F08KL3,CRISIL AAA,2500.0,2558.8625,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-12
7.6% Power Finance Corporation Limited (13/04/2029) ,INE134E08MX3,CRISIL AAA,2500.0,2553.4475,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-12
7.77% REC Limited (31/03/2028) ,INE020B08EH0,CRISIL AAA,2500.0,2548.1325,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-12
7.67% LIC Housing Finance Limited (15/04/2033) ,INE115A07QK0,CRISIL AAA,250.0,2543.8625,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-12
7.70% REC Limited (10/12/2027) ,INE020B08AQ9,CRISIL AAA,250.0,2542.49,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-12
7.48% Small Industries Dev Bank of India (24/05/2029) ,INE556F08KV2,CRISIL AAA,2500.0,2538.4325,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-12
7.55% REC Limited (31/03/2028) ,INE020B08EA5,CRISIL AAA,250.0,2536.8325,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-12
7.62% National Bank For Agriculture and Rural Development (31/01/2028),INE261F08DV4,CRISIL AAA,2500.0,2536.5275,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-12
7.25% Nuclear Power Corporation Of India Limited (15/12/2027) ,INE206D08410,CRISIL AAA,250.0,2534.0625,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-12
7.68% Small Industries Dev Bank of India (10/08/2027) ,INE556F08KP4,CRISIL AAA,2500.0,2533.8475,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-12
7.7165% Nexus Select Trust - REIT (14/06/2028) ,INE0NDH07035,CRISIL AAA,2500.0,2531.46,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-12
7.43% National Bank For Financing Infrastructure And Development (16/06/2033) ,INE0KUG08019,CRISIL AAA,2500.0,2527.3025,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-12
7.56% Bajaj Housing Finance Limited (04/10/2034) ,INE377Y07516,CRISIL AAA,2500.0,2522.3775,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-12
6.97% Karnataka State Development Loans (26/02/2030),IN1920190197,Sovereign,2500000.0,2520.0425,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-12
7.70% Power Finance Corporation Limited (15/09/2026) ,INE134E08MK0,CRISIL AAA,2500.0,2518.025,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-12
7.64% REC Limited (30/06/2026) ,INE020B08EM0,CRISIL AAA,2500.0,2512.0325,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-12
7.50% Bajaj Housing Finance Limited (09/04/2035) ,INE377Y07540,CRISIL AAA,2500.0,2505.8975,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-12
7.55% Bajaj Finance Limited (03/04/2035) ,INE296A07TH8,CRISIL AAA,2500.0,2505.08,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-12
7.299% Kotak Mahindra Prime Limited (22/09/2028) ,INE916DA7TD8,CRISIL AAA,2500.0,2504.75,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-12
6.95% Bajaj Housing Finance Limited (28/01/2028) ,INE377Y07615,CRISIL AAA,2500.0,2495.6125,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-12
6.99% Sundaram Finance Limited (28/05/2027) ,INE660A07RY4,CRISIL AAA,2500.0,2493.3375,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-12
6.98% Power Grid Corporation of India Limited (12/08/2035) ,INE752E08791,CRISIL AAA,2500.0,2490.6375,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-12
7.06% REC Limited (30/06/2035) ,INE020B08GA0,ICRA AAA,2500.0,2479.8675,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-12
6.58% Indian Railway Finance Corporation Limited (30/05/2030) ,INE053F08528,CRISIL AAA,2500.0,2462.42,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-12
6.73% Indian Railway Finance Corporation Limited (06/07/2035) ,INE053F07CQ9,CRISIL AAA,250.0,2425.7675,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-12
7.47% Small Industries Dev Bank of India (05/09/2029) ,INE556F08KR0,CRISIL AAA,2285.0,2321.9827,0.0017,Axis Mutual Fund,AXISBDF,,2020-12-12
8.1% Bajaj Housing Finance Limited (08/07/2027),INE377Y07482,CRISIL AAA,1800.0,1826.4564,0.0013,Axis Mutual Fund,AXISBDF,,2020-12-12
8.05% NTPC Limited (05/05/2026) ,INE733E07KA6,CRISIL AAA,175.0,1758.7028,0.0013,Axis Mutual Fund,AXISBDF,,2020-12-12
7.9% Sundaram Home Finance Limited (24/09/2027) ,INE667F07IV3,ICRA AAA,1500.0,1519.239,0.0011,Axis Mutual Fund,AXISBDF,,2020-12-12
7.39% Maharashtra State Development Loans (03/07/2030),IN2220190036,Sovereign,1000000.0,1023.801,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-12
7.86% Tata Capital Housing Finance Limited (21/09/2029) ,INE033L07IJ1,CRISIL AAA,1000.0,1023.628,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-12
8.24% L&T Finance Limited (16/06/2027) ,INE498L07038,ICRA AAA,1000.0,1013.621,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-12
7.9265% LIC Housing Finance Limited (14/07/2027) ,INE115A07QS3,CRISIL AAA,1000.0,1013.536,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-12
7.44% Power Finance Corporation Limited (11/06/2027) ,INE134E08JC3,CRISIL AAA,100.0,1008.479,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-12
8.32% HDFC Bank Limited (04/05/2026) ,INE040A08468,CRISIL AAA,10.0,1004.848,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-12
7.10% Power Finance Corporation Limited (11/01/2027) ,INE134E08IP7,CRISIL AAA,100.0,1004.241,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-12
7.9% Kotak Mahindra Prime Limited (13/01/2026) ,INE916DA7SB4,CRISIL AAA,1000.0,1000.704,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-12
6.95% Rajasthan State Development Loans (10/02/2031),IN2920200655,Sovereign,1000000.0,998.427,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-12
5.74% Government of India (15/11/2026),IN0020210186,Sovereign,550000.0,551.1633,0.0004,Axis Mutual Fund,AXISBDF,,2020-12-12
7.40 % National Bank For Agriculture and Rural Development (29/04/2030),INE261F08EL3,CRISIL AAA,500.0,507.3995,0.0004,Axis Mutual Fund,AXISBDF,,2020-12-12
8.53% Tamil Nadu State Development Loans (09/03/2026),IN3120150211,Sovereign,500000.0,503.4955,0.0004,Axis Mutual Fund,AXISBDF,,2020-12-12
8.04% Chattisgarh State Development Loans (20/03/2026),IN3520180131,Sovereign,500000.0,503.249,0.0004,Axis Mutual Fund,AXISBDF,,2020-12-12
8.255% Kotak Mahindra Prime Limited (22/06/2026) ,INE916DA7SF5,CRISIL AAA,500.0,502.9735,0.0004,Axis Mutual Fund,AXISBDF,,2020-12-12
8.30% Axis Finance Limited (26/12/2025) ,INE891K07911,CRISIL AAA,500.0,500.2375,0.0004,Axis Mutual Fund,AXISBDF,,2020-12-12
6.28% Government of India (14/07/2032),IN0020250059,Sovereign,500000.0,492.9865,0.0004,Axis Mutual Fund,AXISBDF,,2020-12-12
5.79% Government of India (11/05/2030),IN0020200070,Sovereign,500000.0,489.3815,0.0004,Axis Mutual Fund,AXISBDF,,2020-12-12
7.37% Power Finance Corporation Limited (22/05/2026) ,INE134E08MO2,CRISIL AAA,450.0,451.2528,0.0003,Axis Mutual Fund,AXISBDF,,2020-12-12
5.63% Government of India (12/04/2026),IN0020210012,Sovereign,350000.0,350.1719,0.0003,Axis Mutual Fund,AXISBDF,,2020-12-12
6.92% Government of India (18/11/2039),IN0020240134,Sovereign,345400.0,343.4057,0.0003,Axis Mutual Fund,AXISBDF,,2020-12-12
8.285% Tata Capital Limited (10/05/2027) ,INE976I07CT9,CRISIL AAA,250.0,253.4818,0.0002,Axis Mutual Fund,AXISBDF,,2020-12-12
8.1432% LIC Housing Finance Limited (25/03/2026) ,INE115A07QG8,CRISIL AAA,25.0,250.9533,0.0002,Axis Mutual Fund,AXISBDF,,2020-12-12
6.79% Government of India (30/12/2031),IN0020240191,Sovereign,175100.0,177.6397,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-12
7.54% Bihar State Development Loans (03/09/2033),IN1320250088,Sovereign,165700.0,168.273,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-12
8.72% Tamilnadu State Development Loans (19/09/2026),IN3120180127,Sovereign,150000.0,153.351,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-12
7.08% Andhra Pradesh State Development Loans (26/03/2037),IN1020240801,Sovereign,140900.0,137.5381,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-12
7.13% Power Finance Corporation Limited (15/07/2026),INE134E08LP1,CRISIL AAA,11.0,110.1767,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-12
8.25% Mahindra & Mahindra Financial Services Limited (25/03/2027) ,INE774D07VE1,CRISIL AAA,100.0,101.2436,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-12
7.22% National Housing Bank (23/07/2026) ,INE557F08FR8,CRISIL AAA,100.0,100.2663,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-12
7.58% Bharat Petroleum Corporation Limited (17/03/2026) ,INE029A08073,CRISIL AAA,100.0,100.2426,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-12
Kotak Mahindra Investments Limited (29/01/2026) (ZCB) ,INE975F07HV2,CRISIL AAA,9.0,89.2239,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-12
6.67% ICICI Bank Limited (26/11/2028) ,INE090A08UF5,ICRA AAA,5.0,49.61,0.0,Axis Mutual Fund,AXISBDF,,2020-12-12
Sub Total,,,,1159621.2609,0.8482,Axis Mutual Fund,AXISBDF,,2020-12-12
(b) Privately placed / Unlisted,,,,,,Axis Mutual Fund,AXISBDF,,2020-12-12
Sub Total,,,,,,Axis Mutual Fund,AXISBDF,,2020-12-12
Shivshakti Securitisation Trust (28/09/2029) ,INE2I7G15010,CRISIL AAA(SO),122.0,12339.8464,0.009,Axis Mutual Fund,AXISBDF,,2020-12-12
Siddhivinayak Securitisation Trust (28/09/2030) ,INE2I7F15012,CRISIL AAA(SO),121.0,12243.3475,0.009,Axis Mutual Fund,AXISBDF,,2020-12-12
Radhakrishna Securitisation Trust (28/09/2028) ,INE2I7H15018,CRISIL AAA(SO),78.0,7870.9144,0.0058,Axis Mutual Fund,AXISBDF,,2020-12-12
Sub Total,,,,32454.1082,0.0237,Axis Mutual Fund,AXISBDF,,2020-12-12
Total,,,,1192075.3692,0.8719,Axis Mutual Fund,AXISBDF,,2020-12-12
Bank of Baroda (24/02/2026),INE028A16JJ3,IND A1+,3500.0,17289.2475,0.0126,Axis Mutual Fund,AXISBDF,,2020-12-12
Indian Bank (12/03/2026) ,INE562A16OI3,CRISIL A1+,3000.0,14782.47,0.0108,Axis Mutual Fund,AXISBDF,,2020-12-12
Union Bank of India (01/06/2026) ,INE692A16KH8,IND A1+,3000.0,14569.11,0.0107,Axis Mutual Fund,AXISBDF,,2020-12-12
National Bank For Agriculture and Rural Development (04/02/2026) ,INE261F16926,CRISIL A1+,2000.0,9911.21,0.0072,Axis Mutual Fund,AXISBDF,,2020-12-12
Bank of Baroda (06/03/2026),INE028A16HW0,CRISIL A1+,2000.0,9864.29,0.0072,Axis Mutual Fund,AXISBDF,,2020-12-12
Canara Bank (18/03/2026) ,INE476A16B64,CRISIL A1+,2000.0,9844.73,0.0072,Axis Mutual Fund,AXISBDF,,2020-12-12
