Name of the Instrument,ISIN,Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Industry / Rating,Reporting Date
7.5519% HDB Financial Services Limited (04/04/2029) ,INE756I07FE0,CRISIL AAA,10000.0,10079.12,0.0073,Axis Mutual Fund,AXISBDF,,2020-12-05
6.87% REC Limited (31/05/2030) ,INE020B08FU0,ICRA AAA,10000.0,10007.51,0.0073,Axis Mutual Fund,AXISBDF,,2020-12-05
7.68% Power Finance Corporation Limited (15/07/2030) ,INE134E08KR9,CRISIL AAA,950.0,9823.5035,0.0072,Axis Mutual Fund,AXISBDF,,2020-12-05
8.23% Indian Railway Finance Corporation Limited (29/03/2029) ,INE053F07BE7,CRISIL AAA,900.0,9398.871,0.0069,Axis Mutual Fund,AXISBDF,,2020-12-05
7.35% Export Import Bank of India (27/07/2028) ,INE514E08GE8,CRISIL AAA,9000.0,9171.36,0.0067,Axis Mutual Fund,AXISBDF,,2020-12-05
7.64% National Bank For Agriculture and Rural Development (06/12/2029) ,INE261F08EJ7,ICRA AAA,8500.0,8739.9975,0.0064,Axis Mutual Fund,AXISBDF,,2020-12-05
7.58% REC Limited (31/05/2029) ,INE020B08FD6,ICRA AAA,7500.0,7694.52,0.0056,Axis Mutual Fund,AXISBDF,,2020-12-05
7.40% Power Finance Corporation Limited (15/01/2030) ,INE134E08NH4,CRISIL AAA,7500.0,7664.7225,0.0056,Axis Mutual Fund,AXISBDF,,2020-12-05
7.53% National Bank For Agriculture and Rural Development (24/03/2028) ,INE261F08EM1,ICRA AAA,7500.0,7629.2925,0.0056,Axis Mutual Fund,AXISBDF,,2020-12-05
7.59% National Housing Bank (08/09/2027) ,INE557F08FZ1,CRISIL AAA,7500.0,7621.065,0.0056,Axis Mutual Fund,AXISBDF,,2020-12-05
7.59% Small Industries Dev Bank of India (10/02/2026),INE556F08KG3,CRISIL AAA,7600.0,7616.948,0.0056,Axis Mutual Fund,AXISBDF,,2020-12-05
7.04% Tamilnadu State Development Loans (19/03/2030),IN3120240707,Sovereign,7500000.0,7609.98,0.0055,Axis Mutual Fund,AXISBDF,,2020-12-05
7.32% REC Limited (28/02/2035) ,INE020B08FQ8,CRISIL AAA,7500.0,7601.0925,0.0055,Axis Mutual Fund,AXISBDF,,2020-12-05
7.6937% Nexus Select Trust - REIT (28/05/2027) ,INE0NDH07043,CRISIL AAA,7500.0,7565.31,0.0055,Axis Mutual Fund,AXISBDF,,2020-12-05
7.51% REC Limited (31/07/2026) ,INE020B08EI8,CRISIL AAA,7500.0,7536.3375,0.0055,Axis Mutual Fund,AXISBDF,,2020-12-05
6.94% Power Grid Corporation of India Limited (15/04/2035) ,INE752E08783,CRISIL AAA,7500.0,7465.83,0.0054,Axis Mutual Fund,AXISBDF,,2020-12-05
7.64% REC Limited (30/04/2027) ,INE020B08EX7,ICRA AAA,7000.0,7091.056,0.0052,Axis Mutual Fund,AXISBDF,,2020-12-05
7.8% Tata Capital Housing Finance Limited (05/08/2027) ,INE033L07HU0,CRISIL AAA,680.0,6895.5332,0.005,Axis Mutual Fund,AXISBDF,,2020-12-05
7.71% LIC Housing Finance Limited (09/05/2033) ,INE115A07QI4,CRISIL AAA,600.0,6140.058,0.0045,Axis Mutual Fund,AXISBDF,,2020-12-05
7.7951% Bajaj Finance Limited (10/12/2027) ,INE296A07TF2,CRISIL AAA,6000.0,6083.214,0.0044,Axis Mutual Fund,AXISBDF,,2020-12-05
7.56% REC Limited (31/08/2027) ,INE020B08FF1,ICRA AAA,5500.0,5581.653,0.0041,Axis Mutual Fund,AXISBDF,,2020-12-05
HDB Financial Services Limited (13/01/2026) (ZCB) ,INE756I07EK0,CRISIL AAA,436.0,5558.3591,0.0041,Axis Mutual Fund,AXISBDF,,2020-12-05
7.64% Power Finance Corporation Limited (22/02/2033) ,INE134E08MA1,CRISIL AAA,5000.0,5151.335,0.0038,Axis Mutual Fund,AXISBDF,,2020-12-05
7.62% National Bank For Agriculture and Rural Development (10/05/2029) ,INE261F08EH1,CRISIL AAA,5000.0,5123.1,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
8.05% HDB Financial Services Limited (08/08/2029) ,INE756I07EV7,CRISIL AAA,500.0,5120.715,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
7.65% HDFC Bank Limited (25/05/2033) ,INE040A08930,CRISIL AAA,5000.0,5120.365,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
7.48% Indian Railway Finance Corporation Limited (29/08/2034) ,INE053F07BV1,CRISIL AAA,500.0,5119.245,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
7.44% Indian Railway Finance Corporation Limited (13/06/2034) ,INE053F08395,CRISIL AAA,5000.0,5103.97,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
7.64% LIC Housing Finance Limited (26/07/2033) ,INE115A07QL8,CRISIL AAA,500.0,5099.575,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
7.38% Power Finance Corporation Limited (15/01/2032) ,INE134E08NM4,CRISIL AAA,5000.0,5099.155,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
7.45% Export Import Bank of India (12/04/2028) ,INE514E08GB4,CRISIL AAA,5000.0,5096.79,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
8% Tata Capital Housing Finance Limited (03/11/2027) ,INE033L07HY2,CRISIL AAA,500.0,5095.16,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
7.40% Power Finance Corporation Limited (15/01/2035) ,INE134E08NN2,CRISIL AAA,5000.0,5093.305,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
7.83% Kotak Mahindra Prime Limited (13/07/2028),INE916DA7SJ7,CRISIL AAA,5000.0,5086.605,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
7.12% Export Import Bank of India (27/06/2030) ,INE514E08GF5,CRISIL AAA,5000.0,5073.55,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
7.27% Indian Railway Finance Corporation Limited (15/06/2027) ,INE053F07AB5,CRISIL AAA,500.0,5048.715,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
7.20% Larsen & Toubro Limited (22/01/2035) ,INE018A08BM2,CRISIL AAA,5000.0,5041.27,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
7.299% Kotak Mahindra Prime Limited (22/09/2028) ,INE916DA7TD8,CRISIL AAA,5000.0,5028.23,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
7.27% Tata Capital Housing Finance Limited (25/04/2028) ,INE033L07IN3,CRISIL AAA,5000.0,5026.845,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
7.10% Bajaj Housing Finance Limited (16/10/2028),INE377Y07607,CRISIL AAA,5000.0,5017.45,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
7.4% Bharti Telecom Limited (01/02/2029) ,INE403D08298,CRISIL AAA,5000.0,5006.35,0.0037,Axis Mutual Fund,AXISBDF,,2020-12-05
6.97% Bajaj Housing Finance Limited (17/07/2028) ,INE377Y07599,CRISIL AAA,5000.0,5002.37,0.0036,Axis Mutual Fund,AXISBDF,,2020-12-05
6.66% National Bank For Agriculture and Rural Development (12/10/2028) ,INE261F08EP4,ICRA AAA,5000.0,4991.075,0.0036,Axis Mutual Fund,AXISBDF,,2020-12-05
6.61% Power Finance Corporation Limited (15/07/2028) ,INE134E08NS1,CRISIL AAA,5000.0,4988.6,0.0036,Axis Mutual Fund,AXISBDF,,2020-12-05
7.15% Indian Railway Finance Corporation Limited (14/11/2039) ,INE053F08437,CRISIL AAA,5000.0,4981.135,0.0036,Axis Mutual Fund,AXISBDF,,2020-12-05
7.68% National Bank For Agriculture and Rural Development (30/04/2029) ,INE261F08EG3,CRISIL AAA,4500.0,4617.9675,0.0034,Axis Mutual Fund,AXISBDF,,2020-12-05
7.4% National Housing Bank (16/07/2026) ,INE557F08FS6,CRISIL AAA,4500.0,4520.151,0.0033,Axis Mutual Fund,AXISBDF,,2020-12-05
8.4% Indian Railway Finance Corporation Limited (08/01/2029) ,INE053F07AZ4,CRISIL AAA,400.0,4184.584,0.0031,Axis Mutual Fund,AXISBDF,,2020-12-05
7.57% National Bank For Agriculture and Rural Development (19/03/2026) ,INE261F08DW2,CRISIL AAA,4100.0,4112.5296,0.003,Axis Mutual Fund,AXISBDF,,2020-12-05
7.85% Bajaj Housing Finance Limited (01/09/2028),INE377Y07433,CRISIL AAA,400.0,4087.38,0.003,Axis Mutual Fund,AXISBDF,,2020-12-05
7.29% National Housing Bank (04/07/2031) ,INE557F08GC8,CARE AAA,3500.0,3563.042,0.0026,Axis Mutual Fund,AXISBDF,,2020-12-05
5.81% REC Limited (31/12/2025) ,INE020B08DH2,CRISIL AAA,350.0,3498.9605,0.0026,Axis Mutual Fund,AXISBDF,,2020-12-05
8.3439% HDB Financial Services Limited (05/07/2027) ,INE756I07EZ8,CRISIL AAA,3000.0,3053.604,0.0022,Axis Mutual Fund,AXISBDF,,2020-12-05
7.08% Karnataka State Development Loans (12/08/2031),IN1920240232,Sovereign,3000000.0,3026.928,0.0022,Axis Mutual Fund,AXISBDF,,2020-12-05
6.87% Indian Railway Finance Corporation Limited (14/04/2032) ,INE053F08163,CRISIL AAA,300.0,2986.794,0.0022,Axis Mutual Fund,AXISBDF,,2020-12-05
7.83% Small Industries Dev Bank of India (24/11/2028) ,INE556F08KL3,CRISIL AAA,2500.0,2575.3775,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-05
7.71% HDFC Bank Limited (20/12/2033) ,INE040A08AJ4,CRISIL AAA,2500.0,2574.7675,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-05
7.88% IndiGRID Infrastructure Trust (30/04/2029) ,INE219X07439,CRISIL AAA,2500.0,2574.035,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-05
7.6% Power Finance Corporation Limited (13/04/2029) ,INE134E08MX3,CRISIL AAA,2500.0,2563.4225,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-05
7.77% REC Limited (31/03/2028) ,INE020B08EH0,CRISIL AAA,2500.0,2557.7275,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-05
7.48% Small Industries Dev Bank of India (24/05/2029) ,INE556F08KV2,CRISIL AAA,2500.0,2556.3875,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-05
7.70% REC Limited (10/12/2027) ,INE020B08AQ9,CRISIL AAA,250.0,2551.1875,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-05
7.67% LIC Housing Finance Limited (15/04/2033) ,INE115A07QK0,CRISIL AAA,250.0,2549.5525,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-05
7.55% REC Limited (31/03/2028) ,INE020B08EA5,CRISIL AAA,250.0,2546.31,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-05
7.62% National Bank For Agriculture and Rural Development (31/01/2028),INE261F08DV4,CRISIL AAA,2500.0,2545.3525,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-05
7.25% Nuclear Power Corporation Of India Limited (15/12/2027) ,INE206D08410,CRISIL AAA,250.0,2540.95,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-05
7.68% Small Industries Dev Bank of India (10/08/2027) ,INE556F08KP4,CRISIL AAA,2500.0,2540.26,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-05
7.43% National Bank For Financing Infrastructure And Development (16/06/2033) ,INE0KUG08019,CRISIL AAA,2500.0,2538.085,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-05
7.7165% Nexus Select Trust - REIT (14/06/2028) ,INE0NDH07035,CRISIL AAA,2500.0,2537.9925,0.0019,Axis Mutual Fund,AXISBDF,,2020-12-05
7.56% Bajaj Housing Finance Limited (04/10/2034) ,INE377Y07516,CRISIL AAA,2500.0,2534.455,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-05
6.97% Karnataka State Development Loans (26/02/2030),IN1920190197,Sovereign,2500000.0,2530.745,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-05
7.50% Bajaj Housing Finance Limited (09/04/2035) ,INE377Y07540,CRISIL AAA,2500.0,2522.3875,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-05
7.70% Power Finance Corporation Limited (15/09/2026) ,INE134E08MK0,CRISIL AAA,2500.0,2521.19,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-05
7.55% Bajaj Finance Limited (03/04/2035) ,INE296A07TH8,CRISIL AAA,2500.0,2515.72,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-05
7.64% REC Limited (30/06/2026) ,INE020B08EM0,CRISIL AAA,2500.0,2514.065,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-05
6.99% Sundaram Finance Limited (28/05/2027) ,INE660A07RY4,CRISIL AAA,2500.0,2499.565,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-05
6.98% Power Grid Corporation of India Limited (12/08/2035) ,INE752E08791,CRISIL AAA,2500.0,2495.545,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-05
7.06% REC Limited (30/06/2035) ,INE020B08GA0,ICRA AAA,2500.0,2489.955,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-05
6.58% Indian Railway Finance Corporation Limited (30/05/2030) ,INE053F08528,CRISIL AAA,2500.0,2477.1475,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-05
6.73% Indian Railway Finance Corporation Limited (06/07/2035) ,INE053F07CQ9,CRISIL AAA,250.0,2436.435,0.0018,Axis Mutual Fund,AXISBDF,,2020-12-05
7.47% Small Industries Dev Bank of India (05/09/2029) ,INE556F08KR0,CRISIL AAA,2285.0,2339.2436,0.0017,Axis Mutual Fund,AXISBDF,,2020-12-05
8.1% Bajaj Housing Finance Limited (08/07/2027),INE377Y07482,CRISIL AAA,1800.0,1832.4054,0.0013,Axis Mutual Fund,AXISBDF,,2020-12-05
8.05% NTPC Limited (05/05/2026) ,INE733E07KA6,CRISIL AAA,175.0,1759.9628,0.0013,Axis Mutual Fund,AXISBDF,,2020-12-05
7.9% Sundaram Home Finance Limited (24/09/2027) ,INE667F07IV3,ICRA AAA,1500.0,1523.6025,0.0011,Axis Mutual Fund,AXISBDF,,2020-12-05
7.39% Maharashtra State Development Loans (03/07/2030),IN2220190036,Sovereign,1000000.0,1028.215,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-05
7.86% Tata Capital Housing Finance Limited (21/09/2029) ,INE033L07IJ1,CRISIL AAA,1000.0,1022.578,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-05
8.24% L&T Finance Limited (16/06/2027) ,INE498L07038,ICRA AAA,1000.0,1016.704,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-05
7.9265% LIC Housing Finance Limited (14/07/2027) ,INE115A07QS3,CRISIL AAA,1000.0,1016.255,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-05
7.44% Power Finance Corporation Limited (11/06/2027) ,INE134E08JC3,CRISIL AAA,100.0,1011.148,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-05
7.10% Power Finance Corporation Limited (11/01/2027) ,INE134E08IP7,CRISIL AAA,100.0,1006.84,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-05
8.32% HDFC Bank Limited (04/05/2026) ,INE040A08468,CRISIL AAA,10.0,1005.751,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-05
7.9% Kotak Mahindra Prime Limited (13/01/2026) ,INE916DA7SB4,CRISIL AAA,1000.0,1001.044,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-05
6.95% Rajasthan State Development Loans (10/02/2031),IN2920200655,Sovereign,1000000.0,1000.91,0.0007,Axis Mutual Fund,AXISBDF,,2020-12-05
5.74% Government of India (15/11/2026),IN0020210186,Sovereign,550000.0,551.1083,0.0004,Axis Mutual Fund,AXISBDF,,2020-12-05
7.40 % National Bank For Agriculture and Rural Development (29/04/2030),INE261F08EL3,CRISIL AAA,500.0,509.6605,0.0004,Axis Mutual Fund,AXISBDF,,2020-12-05
8.53% Tamil Nadu State Development Loans (09/03/2026),IN3120150211,Sovereign,500000.0,503.723,0.0004,Axis Mutual Fund,AXISBDF,,2020-12-05
8.04% Chattisgarh State Development Loans (20/03/2026),IN3520180131,Sovereign,500000.0,503.4205,0.0004,Axis Mutual Fund,AXISBDF,,2020-12-05
8.255% Kotak Mahindra Prime Limited (22/06/2026) ,INE916DA7SF5,CRISIL AAA,500.0,503.312,0.0004,Axis Mutual Fund,AXISBDF,,2020-12-05
8.30% Axis Finance Limited (26/12/2025) ,INE891K07911,CRISIL AAA,500.0,500.381,0.0004,Axis Mutual Fund,AXISBDF,,2020-12-05
8.22% Tamil Nadu State Development Loans (09/12/2025),IN3120150153,Sovereign,500000.0,500.11,0.0004,Axis Mutual Fund,AXISBDF,,2020-12-05
6.28% Government of India (14/07/2032),IN0020250059,Sovereign,500000.0,495.3555,0.0004,Axis Mutual Fund,AXISBDF,,2020-12-05
5.79% Government of India (11/05/2030),IN0020200070,Sovereign,500000.0,491.4935,0.0004,Axis Mutual Fund,AXISBDF,,2020-12-05
7.37% Power Finance Corporation Limited (22/05/2026) ,INE134E08MO2,CRISIL AAA,450.0,451.4283,0.0003,Axis Mutual Fund,AXISBDF,,2020-12-05
5.63% Government of India (12/04/2026),IN0020210012,Sovereign,350000.0,350.1211,0.0003,Axis Mutual Fund,AXISBDF,,2020-12-05
6.92% Government of India (18/11/2039),IN0020240134,Sovereign,345400.0,346.6117,0.0003,Axis Mutual Fund,AXISBDF,,2020-12-05
8.285% Tata Capital Limited (10/05/2027) ,INE976I07CT9,CRISIL AAA,250.0,254.0625,0.0002,Axis Mutual Fund,AXISBDF,,2020-12-05
8.1432% LIC Housing Finance Limited (25/03/2026) ,INE115A07QG8,CRISIL AAA,25.0,251.1105,0.0002,Axis Mutual Fund,AXISBDF,,2020-12-05
6.79% Government of India (30/12/2031),IN0020240191,Sovereign,175100.0,178.4115,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-05
7.54% Bihar State Development Loans (03/09/2033),IN1320250088,Sovereign,165700.0,169.1118,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-05
8.72% Tamilnadu State Development Loans (19/09/2026),IN3120180127,Sovereign,150000.0,153.4526,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-05
7.08% Andhra Pradesh State Development Loans (26/03/2037),IN1020240801,Sovereign,140900.0,138.1398,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-05
7.13% Power Finance Corporation Limited (15/07/2026),INE134E08LP1,CRISIL AAA,11.0,110.283,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-05
8.25% Mahindra & Mahindra Financial Services Limited (25/03/2027) ,INE774D07VE1,CRISIL AAA,100.0,101.4534,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-05
7.22% National Housing Bank (23/07/2026) ,INE557F08FR8,CRISIL AAA,100.0,100.3743,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-05
7.58% Bharat Petroleum Corporation Limited (17/03/2026) ,INE029A08073,CRISIL AAA,100.0,100.3002,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-05
Kotak Mahindra Investments Limited (29/01/2026) (ZCB) ,INE975F07HV2,CRISIL AAA,9.0,89.1271,0.0001,Axis Mutual Fund,AXISBDF,,2020-12-05
6.67% ICICI Bank Limited (26/11/2028) ,INE090A08UF5,ICRA AAA,5.0,49.8041,0.0,Axis Mutual Fund,AXISBDF,,2020-12-05
Sub Total,,,,1210280.039,0.8824,Axis Mutual Fund,AXISBDF,,2020-12-05
(b) Privately placed / Unlisted,,,,,,Axis Mutual Fund,AXISBDF,,2020-12-05
Sub Total,,,,,,Axis Mutual Fund,AXISBDF,,2020-12-05
Shivshakti Securitisation Trust (28/09/2029) ,INE2I7G15010,CRISIL AAA(SO),122.0,12378.2272,0.009,Axis Mutual Fund,AXISBDF,,2020-12-05
Siddhivinayak Securitisation Trust (28/09/2030) ,INE2I7F15012,CRISIL AAA(SO),121.0,12293.1795,0.009,Axis Mutual Fund,AXISBDF,,2020-12-05
Radhakrishna Securitisation Trust (28/09/2028) ,INE2I7H15018,CRISIL AAA(SO),78.0,7897.1747,0.0058,Axis Mutual Fund,AXISBDF,,2020-12-05
Sub Total,,,,32568.5814,0.0237,Axis Mutual Fund,AXISBDF,,2020-12-05
Total,,,,1242848.6204,0.9062,Axis Mutual Fund,AXISBDF,,2020-12-05
Indian Bank (12/03/2026) ,INE562A16OI3,CRISIL A1+,3000.0,14767.725,0.0108,Axis Mutual Fund,AXISBDF,,2020-12-05
Union Bank of India (01/06/2026) ,INE692A16KH8,IND A1+,3000.0,14557.725,0.0106,Axis Mutual Fund,AXISBDF,,2020-12-05
National Bank For Agriculture and Rural Development (04/02/2026) ,INE261F16926,CRISIL A1+,2000.0,9899.91,0.0072,Axis Mutual Fund,AXISBDF,,2020-12-05
